RESG_DIA,CAPTC_DIA,NR_COTST,VL_PATRIM_LIQ,VL_QUOTA,VL_TOTAL,SUGESTÃO
0.0,0.0,23115,2766603226.7,136.2454738,2768989617.65,1
0.0,0.0,23163,2769174098.84,136.3720802,2771685128.96,1
0.0,0.0,23208,2759705266.15,135.9057735,2782647927.93,0
11410101.37,924848.55,21993,2894269795.04,609.470009,2892273814.67,1
0.0,1005850.58,21995,2891998790.59,608.779975,2893547675.18,1
0.0,1114121.03,22000,2894968462.15,609.170578,2896205818.83,1
7863432.92,806419.22,21973,2879890487.55,607.482776,2881587958.12,1
5753440.64,2810628.0,21953,2883643825.75,608.895259,2883936615.15,1
9822488.93,989645.36,21915,2870406846.95,607.965305,2871534983.33,1
0.0,484220.68,21919,2868847069.15,607.532376,2869720566.46,1
0.0,433173.23,21921,2867084271.4,607.067338,2868414672.63,1
3067586.93,902535.96,21894,2868698478.52,607.867546,2868867505.94,1
3460200.56,484271.0,21873,2858787491.21,606.398031,2859721919.01,1
27758902.49,1199048.45,21807,2835566386.92,607.106237,2830595484.35,1
0.0,376300.0,21810,2836923223.98,607.316174,2837878069.36,1
148316.5,512641.21,21813,2837348748.77,607.329276,2838752277.91,1
2635303.01,821740.51,21796,2834774458.32,607.166443,2835069411.24,1
1958997.02,16621849.68,21806,2856315172.11,608.639578,2856420736.54,1
7410196.92,204233.95,21739,2852833403.41,609.433151,2851749913.49,1
0.0,271000.0,21742,2855104750.57,609.860472,2856106989.29,1
0.0,570609.89,21744,2859985493.85,610.781132,2860617649.17,1
4941308.5,316784.94,21718,2849485454.94,609.526352,2849007159.79,1
1824948.37,135070.53,21699,2847491098.44,609.461221,2848011472.32,1
8797916.09,457068.44,21634,2845719597.31,610.867288,2844368438.86,0
653395.56,0.0,15026,827271494.4,187.1680455,831504970.02,1
360827.99,0.0,15014,827794187.78,187.3679399,829890274.97,1
321659.41,0.0,15000,828495346.96,187.5994509,830617662.71,1
2432809.5,3779199.42,22595,1503245938.66,15.859128,1494875400.86,1
482390.71,4840553.77,22633,1507854343.43,15.861768,1499451067.14,1
0.0,4513143.4,22683,1512696510.86,15.865229,1504293462.63,1
0.0,11140532.18,22752,1519866795.75,15.823589,1511463575.44,1
1346488.14,10849337.0,22811,1529992203.39,15.830071,1521576494.31,1
2421090.18,3900207.82,22822,1531596180.82,15.831363,1523111714.18,1
2016504.63,3956357.41,22852,1537061199.46,15.867801,1528545694.38,1
0.0,4164598.27,22904,1544957267.33,15.906322,1536441524.07,1
0.0,3795458.92,22958,1555334096.31,15.974082,1546818254.23,1
